scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync netcoreapp3.1,execution_time,43,55,78.18181818,48,87.27272727,71.83532243
Benchmarks.Trace.SerilogBenchmark.EnrichedLog netcoreapp3.1,execution_time,42,55,76.36363636,48,87.27272727,41.87548667
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery netcoreapp3.1,execution_time,41,55,74.54545455,44,80,92.91243917
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync netcoreapp3.1,execution_time,41,55,74.54545455,44,80,40.42323648
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch netcoreapp3.1,execution_time,40,55,72.72727273,43,78.18181818,67.65005288
Benchmarks.Trace.NLogBenchmark.EnrichedLog netcoreapp3.1,execution_time,40,55,72.72727273,43,78.18181818,36.60446573
Benchmarks.Trace.RedisBenchmark.SendReceive netcoreapp3.1,execution_time,39,55,70.90909091,44,80,97.88840139
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody netcoreapp3.1,execution_time,38,55,69.09090909,44,80,30.97095554
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmark net6.0,execution_time,37,55,67.27272727,47,85.45454545,12.0493464
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmark net6.0,throughput,36,55,65.45454545,48,87.27272727,11.86909192
Benchmarks.Trace.SpanBenchmark.StartFinishScope netcoreapp3.1,execution_time,36,55,65.45454545,41,74.54545455,51.08738498
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmarkWithAttack net6.0,execution_time,35,55,63.63636364,50,90.90909091,15.64936362
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmarkWithAttack net6.0,throughput,35,55,63.63636364,50,90.90909091,14.48412578
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog netcoreapp3.1,execution_time,35,55,63.63636364,43,78.18181818,13.6552823
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody netcoreapp3.1,execution_time,34,55,61.81818182,35,63.63636364,94.88628863
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody netcoreapp3.1,execution_time,32,55,58.18181818,42,76.36363636,44.40084465
Benchmarks.Trace.HttpClientBenchmark.SendAsync netcoreapp3.1,execution_time,32,55,58.18181818,39,70.90909091,16.44439789
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes netcoreapp3.1,execution_time,32,55,58.18181818,35,63.63636364,27.94586447
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild netcoreapp3.1,execution_time,31,55,56.36363636,38,69.09090909,31.15145429
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody net6.0,execution_time,31,55,56.36363636,33,60,23.62051336
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody netcoreapp3.1,execution_time,31,55,56.36363636,41,74.54545455,22.69956942
Benchmarks.Trace.SpanBenchmark.StartFinishSpan netcoreapp3.1,execution_time,29,55,52.72727273,33,60,18.02554845
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody net6.0,throughput,27,55,49.09090909,36,65.45454545,16.07611312
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,execution_time,27,55,49.09090909,42,76.36363636,9.803444726
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark net6.0,throughput,27,55,49.09090909,38,69.09090909,21.64690863
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin netcoreapp3.1,execution_time,27,55,49.09090909,31,56.36363636,19.08673846
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody net6.0,throughput,26,55,47.27272727,36,65.45454545,11.86483345
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net6.0,execution_time,26,55,47.27272727,50,90.90909091,6.242555647
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmarkWithAttack netcoreapp3.1,throughput,25,55,45.45454545,46,83.63636364,4.808105698
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net6.0,throughput,25,55,45.45454545,50,90.90909091,5.830109326
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore netcoreapp3.1,throughput,25,55,45.45454545,49,89.09090909,6.272724859
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmark netcoreapp3.1,execution_time,24,55,43.63636364,48,87.27272727,6.843944516
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmarkWithAttack netcoreapp3.1,execution_time,24,55,43.63636364,46,83.63636364,4.607663249
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net472,execution_time,24,55,43.63636364,43,78.18181818,6.917713388
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody net6.0,execution_time,23,55,41.81818182,30,54.54545455,10.81112351
